Close,Volume,LogRet,mavol,rsi,stoch,macd,atr
-0.470837297,-0.08296634,0.144882885,0.63733975,1.88317128,-0.058843525,0.06194808,-0.381735581
-0.468600695,0.31266406,0.318744522,0.614103535,1.91854381,0.036357604,0.088873072,-0.380671858
-0.469307035,-0.300445388,-0.175614016,0.594502548,1.778459992,-0.014372479,0.102437805,-0.384241289
-0.46655257,-0.080649899,0.403136685,0.574203404,1.83336989,0.017075619,0.11880154,-0.374337166
-0.462479588,0.673547842,0.61613295,0.601576843,1.900572715,0.116729512,0.142284963,-0.363165221
-0.46132607,0.850936914,0.131940117,0.643979815,1.917424792,0.114489469,0.159757171,-0.357815272
-0.461702584,-0.114012573,-0.118840198,0.591126787,1.844522301,0.100147178,0.166387148,-0.362286811
-0.460831551,-0.142609151,0.085340665,0.584373484,1.860505226,0.133326823,0.169284938,-0.365529534
-0.458524284,0.028274644,0.318478893,0.579513584,1.900563041,-0.32625136,0.174795353,-0.362014713
-0.457559013,-0.243355842,0.099180183,0.52708052,1.916348878,-0.38084409,0.177085632,-0.364994518
-0.458924564,-0.246960018,-0.278527894,0.521454253,1.632927539,-0.529004777,0.167787968,-0.368037493
-0.458618466,-0.1738108,-0.007486861,0.51505939,1.641903938,-0.639766053,0.156000055,-0.374009649
-0.45798281,-0.286243309,0.045868514,0.461024935,1.661137313,-0.947810632,0.143673454,-0.372062994
-0.457841634,-0.04753145,-0.034324405,0.44829807,1.665573593,-1.139964978,0.129147681,-0.373135896
-0.451249563,0.909514015,0.999243908,0.518968352,1.830183406,-0.514283335,0.138081061,-0.343921977
-0.453203602,0.154368976,-0.368110845,0.500393201,1.452888706,-0.826857973,0.132150439,-0.345187154
-0.451273022,-0.223284952,0.250020317,0.375149019,1.516579505,-0.844013101,0.1297064,-0.342629787
-0.4523089,-0.175779405,-0.221794259,-0.027137989,1.323773624,-1.063139827,0.11851792,-0.34968662
-0.451885296,-0.494286374,0.010192782,-0.09964684,1.341342377,-1.518348735,0.10626577,-0.349154758
-0.45310946,-0.400970056,-0.252133681,-0.125504931,1.10473909,-1.754419205,0.086929828,-0.352629471
-0.453862948,-0.145739677,-0.177540963,-0.146413958,0.961190918,-1.97948566,0.064089545,-0.361806346
-0.45277973,-0.333948677,0.115753783,-0.229207465,1.028011909,-1.957658083,0.045886741,-0.360424423
-0.452638745,-0.496106963,-0.034717958,-0.254095003,1.036850968,-1.940848668,0.02787074,-0.363253097
-0.453132919,-0.652455645,-0.135975229,-0.31223369,0.930430834,-1.999768458,0.00774326,-0.364014157
-0.449672133,0.115944174,0.492119306,-0.287150436,1.151897049,-1.493365647,0.001528218,-0.34995926
-0.449130582,-0.362130811,0.028251413,-0.30410681,1.182382925,-1.894842155,-0.005036749,-0.349517357
-0.450778695,1.462381189,-0.31762842,-0.25658759,0.837538257,-2.403895952,-0.020292594,-0.351788813
-0.447317795,-0.191173008,0.488234003,-0.319364158,1.061733872,-2.002305728,-0.022370887,-0.340737617
